Sample,Site number,pg.2C,SD,Location,Latitude,Longitude
NC09001,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09002,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09003,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09004,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09005,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09006,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09007,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09008,NC0901,42.32,0.419,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09009,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09010,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09011,NC0901,37.53,0.76,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09012,NC0901,45.03,1.193,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09013,NC0901,,,S of Aberdeen by Hoke Co. Line,35.072917,-79.430028
NC09015,NC0902,,,Vander off HW24,35.041525,-78.773025
NC09016,NC0902,,,Vander off HW24,35.041525,-78.773025
NC09017,NC0902,,,Vander off HW24,35.041525,-78.773025
NC09018,NC0902,,,Vander off HW24,35.041525,-78.773025
NC09019,NC0902,84.52,1.188,Vander off HW24,35.041525,-78.773025
NC09020,NC0902,,,Vander off HW24,35.041525,-78.773025
NC09021,NC0902,81.35,1.265,Vander off HW24,35.041525,-78.773025
NC09024,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09025,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09026,NC0903,40.8,0.755,between Rex and Rennet,34.849833,-79.065778
NC09027,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09028,NC0903,40.64,0.379,between Rex and Rennet,34.849833,-79.065778
NC09030,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09031,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09032,NC0903,,,between Rex and Rennet,34.849833,-79.065778
NC09033,NC0904,47.87,0.394,near Old Hundred off HW74,34.807556,-79.587944
NC09034,NC0904,46.12,0.595,near Old Hundred off HW74,34.807556,-79.587944
NC09035,NC0904,,,near Old Hundred off HW74,34.807556,-79.587944
SC09036,SC0905,46.4,0.268,off HW1 between Patrick and McBee,34.529611,-80.151556
SC09037,SC0905,36.53,0.45,off HW1 between Patrick and McBee,34.529611,-80.151556
SC09038,SC0905,,,off HW1 between Patrick and McBee,34.529611,-80.151556
SC09039,SC0906,39.15,0.868,off HW102 2 mi S Patrick,34.546806,-80.037083
SC09040,SC0906,,,off HW102 2 mi S Patrick,34.546806,-80.037083
SC09041,SC0906,,,off HW102 2 mi S Patrick,34.546806,-80.037083
SC09044,SC0908,79.72,0.496,W edge of Camden at corner of US1 and Truesoell Ave.,34.220056,-80.69025
SC09045,SC0908,,,W edge of Camden at corner of US1 and Truesoell Ave.,34.220056,-80.69025
SC09046,SC0908,73.71,0.406,W edge of Camden at corner of US1 and Truesoell Ave.,34.220056,-80.69025
SC09049,SC0909,83.57,1.781,3.5 W Lexington,33.979944,-81.298889
SC09050,SC0910,,,N of Aiken off HW1,33.596472,-81.689778
SC09051,SC0910,83.35,0.993,N of Aiken off HW1,33.596472,-81.689778
SC09052,SC0910,83.45,0.091,N of Aiken off HW1,33.596472,-81.689778
SC09053,SC0910,80.85,0.403,N of Aiken off HW1,33.596472,-81.689778
SC09054,SC0910,,,N of Aiken off HW1,33.596472,-81.689778
SC09057,SC0906,40.58,0.498,off HW102 2 mi S Patrick,34.546806,-80.037083
SC09058,SC0906,,,off HW102 2 mi S Patrick,34.546806,-80.037083
SC09059,SC0906,,,off HW102 2 mi S Patrick,34.546806,-80.037083
NC09060,NC0901,,,Vander off HW24,35.041525,-78.773025
NC09061,NC0903,47.22,0.173,between Rex and Rennet,34.849833,-79.065778
