x,y,species logistic values
1.0,1.0,4.3669294E-4
2.0,2.0,0.3897373
3.0,3.0,9.812544E-5
4.0,4.0,0.0025899853
5.0,5.0,1.2234674E-4
6.0,6.0,0.0013558835
7.0,7.0,0.13659102
8.0,8.0,1.7918563E-7
9.0,9.0,0.15431476
10.0,10.0,1.19464356E-4
11.0,11.0,1.620789E-5
12.0,12.0,1.6664621E-6
13.0,13.0,0.0016923945
14.0,14.0,9.9992544E-14
15.0,15.0,2.288432E-9
16.0,16.0,0.007851113
17.0,17.0,2.0148645E-5
18.0,18.0,0.012404209
19.0,19.0,0.0016359058
20.0,20.0,7.106246E-5
21.0,21.0,0.686094
22.0,22.0,1.3331168E-4
23.0,23.0,2.2788606E-4
24.0,24.0,0.18479018
25.0,25.0,0.0020687475
26.0,26.0,0.0135486955
27.0,27.0,0.004050225
28.0,28.0,0.0022069376
29.0,29.0,3.1878827E-19
30.0,30.0,7.261474E-4
31.0,31.0,2.5643344E-4
32.0,32.0,2.3867024E-4
33.0,33.0,0.047195107
34.0,34.0,1.6866233E-4
35.0,35.0,0.13352409
36.0,36.0,3.442436E-7
37.0,37.0,0.38304844
38.0,38.0,0.09540304
39.0,39.0,9.303706E-5
40.0,40.0,4.181568E-4
41.0,41.0,8.0137723E-4
42.0,42.0,0.023292705
43.0,43.0,0.6533246
44.0,44.0,0.18874091
45.0,45.0,3.5767278E-4
46.0,46.0,0.05399564
47.0,47.0,0.0010781068
48.0,48.0,0.58369845
49.0,49.0,2.598243E-9
50.0,50.0,7.0117E-11
51.0,51.0,1.1295376E-4
52.0,52.0,7.0099166E-4
53.0,53.0,0.02608705
54.0,54.0,5.74276E-4
55.0,55.0,7.674495E-5
56.0,56.0,0.08243095
57.0,57.0,0.041179895
58.0,58.0,1.00947356E-4
59.0,59.0,1.6547256E-7
60.0,60.0,3.8595237E-5
61.0,61.0,2.4846752E-8
62.0,62.0,0.06314256
63.0,63.0,0.18042807
64.0,64.0,0.003717405
65.0,65.0,2.0919467E-6
66.0,66.0,2.32744E-5
67.0,67.0,0.32801765
68.0,68.0,0.054269116
69.0,69.0,4.9847586E-5
70.0,70.0,0.33707815
71.0,71.0,0.6080379
72.0,72.0,3.737592E-4
73.0,73.0,3.7374476E-4
74.0,74.0,0.5264964
75.0,75.0,0.0016856691
76.0,76.0,0.048985697
77.0,77.0,2.0268599E-4
78.0,78.0,4.4773893E-5
79.0,79.0,0.12618198
80.0,80.0,3.9440206E-6
81.0,81.0,0.12737705
82.0,82.0,0.0017306588
83.0,83.0,2.5560556E-4
84.0,84.0,0.01859846
85.0,85.0,3.7514365E-5
86.0,86.0,0.02368676
87.0,87.0,1.8009965E-4
88.0,88.0,0.17449266
89.0,89.0,2.5907642E-4
90.0,90.0,1.6980227E-4
91.0,91.0,2.2620971E-4
92.0,92.0,8.9212507E-4
93.0,93.0,1.0601506E-4
94.0,94.0,1.4546292E-4
95.0,95.0,0.714153
96.0,96.0,1.5939282E-5
97.0,97.0,0.001485924
98.0,98.0,0.0030770183
99.0,99.0,0.087444685
100.0,100.0,5.1445654E-4
101.0,101.0,4.1855947E-7
102.0,102.0,0.21922426
103.0,103.0,0.13151576
104.0,104.0,0.0046903286
105.0,105.0,2.02257E-5
106.0,106.0,2.6041173E-4
107.0,107.0,9.4583E-4
108.0,108.0,0.24713857
109.0,109.0,0.02982992
110.0,110.0,0.084695846
111.0,111.0,0.365548
112.0,112.0,2.7704294E-4
113.0,113.0,1.5741595E-4
114.0,114.0,0.050024044
115.0,115.0,9.625392E-7
116.0,116.0,0.3685786
117.0,117.0,3.07016E-4
118.0,118.0,2.1756291E-10
119.0,119.0,6.1659695E-4
120.0,120.0,3.444478E-4
121.0,121.0,6.023272E-10
122.0,122.0,0.33912295
123.0,123.0,0.052909438
124.0,124.0,9.0859736E-5
125.0,125.0,8.530615E-12
126.0,126.0,0.21461295
127.0,127.0,0.048291188
128.0,128.0,0.40513605
129.0,129.0,2.7711567E-7
130.0,130.0,2.0394119E-4
131.0,131.0,5.4753616E-17
132.0,132.0,0.007391035
133.0,133.0,0.6461025
134.0,134.0,0.2780532
135.0,135.0,6.457136E-4
136.0,136.0,0.013600549
137.0,137.0,0.1385357
138.0,138.0,0.020078069
139.0,139.0,3.390924E-4
140.0,140.0,0.055908214
141.0,141.0,0.039347727
142.0,142.0,1.4284018E-9
143.0,143.0,0.12979406
144.0,144.0,2.117908E-4
145.0,145.0,6.6434696E-15
146.0,146.0,7.2031403E-6
147.0,147.0,2.4074518E-4
148.0,148.0,3.273462E-5
149.0,149.0,0.0011814141
150.0,150.0,0.6061958
151.0,151.0,3.856929E-4
152.0,152.0,2.0871701E-5
153.0,153.0,7.972257E-8
154.0,154.0,7.0094276E-4
155.0,155.0,7.611777E-6
156.0,156.0,0.059933756
157.0,157.0,0.34209493
158.0,158.0,0.1826872
159.0,159.0,0.0014634749
160.0,160.0,0.01939386
161.0,161.0,0.016059192
162.0,162.0,2.6385364E-5
163.0,163.0,0.6667166
164.0,164.0,4.0371353E-7
165.0,165.0,0.008746932
166.0,166.0,8.946462E-5
167.0,167.0,1.5436004E-4
168.0,168.0,0.23473209
