Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.01764E-13,0.000000001,0,0.946801078,0,0
4.93307E-13,0.000000003,0.000000001,0.942209801,0,0
1.48083E-12,0.00000001,0.000000002,0.934125162,0,0
2.90179E-12,0.000000025,0.000000004,0.927437868,0,0
9.48782E-12,0.0000001,0.000000014,0.913963469,0,0
2.28581E-11,0.000000251,0.000000034,0.904182054,0,0
8.24838E-11,0.000001008,0.000000121,0.888312207,0,0
1.72308E-10,0.000002514,0.000000253,0.876135343,0,0
6.02081E-10,0.000010017,0.000000885,0.854177064,0,0
1.44852E-9,0.000025031,0.00000213,0.838806268,0,0
2.5392E-9,0.000050023,0.000003733,0.826030542,0,0
4.29649E-9,0.000100079,0.000006316,0.811158798,0,0
8.62541E-9,0.000250707,0.00001268,0.787204312,0,0
1.59441E-8,0.000500092,0.00002344,0.766343947,0,0
2.87904E-8,0.001001608,0.000042324,0.743387564,0,0
6.07693E-8,0.002504875,0.000089332,0.708753369,0,0
9.80534E-8,0.005006022,0.000144132,0.676913864,0,0
1.62865E-7,0.010012973,0.000239378,0.637688392,0,0
3.2544E-7,0.025017563,0.000478215,0.574408624,0,0
5.96058E-7,0.050004989,0.000875525,0.519512925,0,0
1.18683E-6,0.100039113,0.001741777,0.461024054,0,0
2.76619E-6,0.200104397,0.004050225,0.405629304,0,0
4.67266E-6,0.300229821,0.006822626,0.377682403,0,0
6.59707E-6,0.4003492,0.009605494,0.359816349,0,0
8.53847E-6,0.500583985,0.012397172,0.34634195,0,0
1.00689E-5,0.600604995,0.014586877,0.335562431,0,0
1.20091E-5,0.700491331,0.017348799,0.326479689,0,0
1.26892E-5,0.751208807,0.01831332,0.322387464,0,0
1.33246E-5,0.800734897,0.019212733,0.31859467,0,0
1.44408E-5,0.900608554,0.020788752,0.311408324,0,0
1.56591E-5,1.001225998,0.022503067,0.30472103,0,0
1.67945E-5,1.100224322,0.024095383,0.298632598,0,0
1.81253E-5,1.201768538,0.025955218,0.292843597,0,0
1.92071E-5,1.300841559,0.027461746,0.287553648,0,0
2.02511E-5,1.401502017,0.02891136,0.28246332,0,0
2.13523E-5,1.501025486,0.030435582,0.277672422,0,0
2.3368E-5,1.751771808,0.033213271,0.266493662,0,0
2.61505E-5,2.001949643,0.037021756,0.256412816,0,0
2.85799E-5,2.251103829,0.040322421,0.247330073,0,0
3.16709E-5,2.502523391,0.044489414,0.238946003,0,0
3.50273E-5,2.751834192,0.04897328,0.231460226,0,0
3.82818E-5,3.002786791,0.053281083,0.224573311,0,0
4.15201E-5,3.250489883,0.057528957,0.218385068,0,0
4.41228E-5,3.503197198,0.060915505,0.212496257,0,0
4.75152E-5,3.750702306,0.065293282,0.207106498,0,0
5.10913E-5,4.001152483,0.069864,0.202016169,0,0
5.43878E-5,4.254707001,0.074038017,0.197225272,0,0
5.74024E-5,4.505681713,0.077822436,0.192733806,0,0
6.06461E-5,4.753761675,0.081860018,0.188541771,0,0
6.41199E-5,5.003168659,0.086145067,0.184549356,0,0
6.78139E-5,5.253597111,0.090657987,0.180756563,0,0
7.22627E-5,5.506233966,0.096034246,0.17716339,0,0
7.57487E-5,5.757415316,0.100202777,0.173769837,0,0
7.96609E-5,6.005094241,0.104835479,0.170575906,0,0
8.28524E-5,6.257153301,0.108579492,0.167481785,0,0
8.64466E-5,6.503005586,0.112758702,0.164587284,0,0
9.1445E-5,6.754183771,0.118505788,0.161792594,0,0
9.55707E-5,7.006382169,0.123193743,0.159097714,0,0
9.89828E-5,7.259157538,0.127033292,0.156502645,0,0
1.03335E-4,7.503289113,0.131882717,0.154107196,0,0
1.0759E-4,7.756228626,0.136571043,0.151711748,0,0
1.12035E-4,8.009392599,0.141415413,0.149416109,0,0
1.16332E-4,8.260491901,0.146046723,0.147220281,0,0
1.1985E-4,8.508948653,0.149801987,0.145124264,0,0
1.22673E-4,8.751823821,0.152792003,0.143128057,0,0
1.2782E-4,9.002094612,0.158188265,0.141131849,0,0
1.31839E-4,9.250140918,0.162354543,0.139235453,0,0
1.34745E-4,9.50301307,0.165341889,0.137339056,0,0
1.3909E-4,9.763468499,0.169767825,0.135442659,0,0
1.43206E-4,10.003638067,0.17391804,0.133745883,0,0
1.46731E-4,10.250215935,0.177439702,0.132049107,0,0
1.52041E-4,10.505366116,0.182687198,0.130352331,0,0
1.56275E-4,10.752626374,0.186824718,0.128755365,0,0
1.58983E-4,11.004378506,0.189448563,0.127158399,0,0
1.62849E-4,11.262321258,0.193165626,0.125561433,0,0
1.66226E-4,11.509756481,0.196384766,0.124064278,0,0
1.70522E-4,11.762970214,0.20044304,0.122567122,0,0
1.73982E-4,12.004162905,0.203681064,0.121169777,0,0
1.78073E-4,12.250721454,0.207477053,0.119772432,0,0
1.81184E-4,12.502326567,0.210339012,0.118375087,0,0
1.86558E-4,12.75968803,0.215234992,0.116977742,0,0
1.90716E-4,13.005107534,0.218981602,0.115680208,0,0
1.94128E-4,13.255338483,0.222029923,0.114382673,0,0
1.98553E-4,13.510787412,0.225947549,0.113085138,0,0
2.01232E-4,13.750724367,0.228299725,0.111887414,0,0
