X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.001639341099356578,79.04640393780832,0.7067508052749208
2.0,2.0,train,0.0014141681208220548,72.62396129154189,0.6752226153725197
3.0,3.0,train,0.0015640095701152216,76.63022005085172,0.6969073124900639
4.0,4.0,train,2.2892775421425068E-4,15.251855504440035,0.25180892886498585
5.0,5.0,train,0.0022270614419481255,92.51551760429986,0.7660327866374391
6.0,6.0,train,0.0017441815883580314,81.5837775850839,0.7194321114080304
7.0,7.0,train,0.0019560725621068473,87.45873640903008,0.7419827726695196
8.0,8.0,train,0.0010242282773535417,54.0510440602877,0.6009201234546456
9.0,9.0,train,0.0010911293257196077,57.67370138219633,0.6159928633578673
10.0,10.0,train,0.001697447672512784,80.7993579507475,0.7139174136370373
11.0,11.0,train,0.001093212343048983,57.75551448297272,0.6164439097553338
12.0,12.0,train,0.002414379674228059,94.12073481943082,0.7801950503710031
13.0,13.0,train,2.0281578096202513E-4,13.92389014577021,0.22968403118228123
14.0,14.0,train,5.131787150128044E-4,30.893887977049484,0.4300198610731676
15.0,15.0,train,0.002368310385284783,93.63910353636753,0.7768733490394599
16.0,16.0,train,0.0012426451679040439,64.73443908752989,0.6462516763331538
17.0,17.0,train,8.822172661282441E-4,47.023428930605476,0.5646471281612473
18.0,18.0,train,5.8990350508441E-4,34.71826101475522,0.46445125419738853
19.0,19.0,train,6.549273210442078E-4,37.25306210536444,0.4905336293933712
