Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.50295E-11,0.000000002,0.000000033,1,0,0
1.92294E-11,0.000000003,0.000000043,0.99990019,0,0
5.75395E-11,0.000000014,0.000000128,0.999700569,0,0
6.59972E-11,0.000000027,0.000000147,0.999500948,0,0
2.34494E-10,0.000000101,0.000000521,0.999001896,0,0
5.08585E-10,0.000000253,0.000001129,0.998602655,0,0
9.70684E-10,0.000001078,0.000002156,0.997504741,0,0
1.56063E-9,0.000002625,0.000003466,0.996307017,0,0
3.76412E-9,0.000010345,0.000008359,0.993113085,0,0
7.8994E-9,0.000025418,0.000017542,0.990418205,0,0
1.16705E-8,0.000050322,0.000025916,0.987823136,0,0
1.92944E-8,0.000100772,0.000042845,0.984529394,0,0
3.63381E-8,0.000251287,0.000080689,0.979039824,0,0
4.90373E-8,0.00050225,0.000108885,0.973350634,0,0
7.29652E-8,0.001002484,0.000162007,0.965166184,0,0
1.39888E-7,0.002505714,0.000310553,0.950793492,0,0
1.98959E-7,0.005007127,0.000441633,0.935821938,0,0
2.86879E-7,0.010003426,0.000636666,0.915261004,0,0
5.08033E-7,0.025050753,0.001126916,0.876933826,0,0
7.82398E-7,0.050023845,0.001734457,0.837508733,0,0
1.2321E-6,0.100041762,0.002728647,0.787703364,0,0
2.09477E-6,0.200080111,0.004630307,0.726120371,0,0
2.88321E-6,0.300146633,0.006361997,0.685597365,0,0
3.57145E-6,0.400169114,0.0078687,0.654656153,0,0
4.33924E-6,0.500129806,0.009544169,0.629404132,0,0
5.10146E-6,0.600398502,0.011201892,0.608244336,0,0
5.79483E-6,0.700301477,0.012705083,0.589879229,0,0
6.15025E-6,0.750515833,0.013473829,0.581495159,0,0
6.43588E-6,0.80029123,0.014090772,0.573610141,0,0
7.08808E-6,0.900441716,0.01549656,0.558838207,0,0
7.74184E-6,1.000425781,0.01690172,0.545363809,0,0
8.40667E-6,1.100344767,0.018326555,0.532987324,0,0
9.03902E-6,1.200672973,0.019677934,0.521509133,0,0
9.82239E-6,1.300540435,0.021346929,0.510929234,0,0
1.0344E-5,1.400482301,0.022455171,0.501048009,0,0
1.09753E-5,1.500627861,0.023792851,0.491665835,0,0
1.26379E-5,1.750921437,0.027298726,0.470406228,0,0
1.41453E-5,2.000516021,0.030455768,0.451741691,0,0
1.56715E-5,2.250273151,0.033631162,0.43497355,0,0
1.70867E-5,2.500703253,0.036557299,0.419702565,0,0
1.86788E-5,2.750976037,0.039827884,0.405729115,0,0
2.02307E-5,3.001737087,0.042994718,0.392853578,0,0
2.18612E-5,3.250296536,0.046299373,0.381075956,0,0
2.34788E-5,3.501080273,0.049555613,0.369997006,0,0
2.54279E-5,3.751012342,0.053449482,0.359816349,0,0
2.71511E-5,4.002512478,0.056865693,0.350234554,0,0
2.85198E-5,4.250029421,0.059561527,0.341351432,0,0
3.03218E-5,4.502934799,0.06308745,0.332767741,0,0
3.22301E-5,4.750706944,0.066792671,0.324882723,0,0
3.42624E-5,5.000255596,0.070706574,0.317396946,0,0
3.6008E-5,5.252925881,0.074042186,0.3102106,0,0
3.77489E-5,5.500423345,0.077345234,0.303523306,0,0
3.9737E-5,5.75205908,0.081088263,0.297035632,0,0
4.154E-5,6.004130026,0.084456838,0.29084739,0,0
4.38165E-5,6.251460103,0.088674808,0.285058389,0,0
4.55382E-5,6.502182107,0.091839156,0.279469009,0,0
4.77942E-5,6.75067133,0.095952407,0.27417906,0,0
4.95141E-5,7.004635812,0.099063337,0.268988921,0,0
5.21754E-5,7.253383844,0.103834939,0.264098213,0,0
5.41097E-5,7.503089243,0.107271369,0.259407126,0,0
5.61978E-5,7.751525371,0.11095178,0.25491566,0,0
5.81157E-5,8.003400598,0.11430555,0.250524004,0.052631579,0
5.99177E-5,8.251530847,0.117433521,0.246331969,0.052631579,0
6.16007E-5,8.501250631,0.120335103,0.242239744,0.052631579,0
6.38698E-5,8.752183186,0.12421719,0.23824733,0.052631579,0
6.58636E-5,9.004810293,0.127599936,0.234354726,0.052631579,0
6.81036E-5,9.252324944,0.131369573,0.230661743,0.052631579,0
6.95403E-5,9.500145563,0.133770124,0.22706857,0.052631579,0
7.21336E-5,9.755116125,0.138070046,0.223475397,0.052631579,0
7.45733E-5,10.00445008,0.142076228,0.220081844,0.052631579,0
7.69132E-5,10.254915582,0.145883852,0.216788103,0.052631579,0
7.8863E-5,10.504482836,0.149031078,0.213594171,0.052631579,0
8.15664E-5,10.753335053,0.153356228,0.21050005,0.052631579,0
8.43349E-5,11.001730032,0.157740353,0.207505739,0.052631579,0
8.67886E-5,11.250006532,0.161588281,0.204611239,0.052631579,0
8.85374E-5,11.50405867,0.164309293,0.201716738,0.052631579,0
9.05866E-5,11.755046801,0.167475246,0.198922048,0.052631579,0
9.26795E-5,12.002652081,0.170684095,0.196227168,0.052631579,0
9.47681E-5,12.255902443,0.17386185,0.193532289,0.052631579,0
9.68765E-5,12.504949051,0.177045147,0.190937219,0.052631579,0
9.94578E-5,12.750588074,0.18090914,0.18844196,0.052631579,0
1.02017E-4,13.002470819,0.184704615,0.185946701,0.052631579,0
1.04155E-4,13.25017169,0.18784762,0.183551253,0.052631579,0
1.06211E-4,13.50301162,0.190849159,0.181155804,0.052631579,0
1.08842E-4,13.750402811,0.194655914,0.178860166,0.052631579,0
1.10954E-4,14.003249492,0.197686736,0.176564527,0.052631579,0
1.13525E-4,14.250564494,0.201344982,0.174368699,0.052631579,0
1.15406E-4,14.502319893,0.203999887,0.172172872,0.052631579,0
1.18242E-4,14.759792542,0.207971247,0.169977044,0.052631579,0
1.20443E-4,15.010126253,0.211025158,0.167881026,0.052631579,0
1.22922E-4,15.253862024,0.214437054,0.165884819,0.052631579,0
1.2563E-4,15.502607459,0.218130382,0.163888612,0.052631579,0
1.28728E-4,15.757975346,0.222313892,0.161892404,0.052631579,0
