x,y,species logistic values
1.0,1.0,0.5410355
2.0,2.0,0.008464912
3.0,3.0,0.040254418
4.0,4.0,0.009632599
5.0,5.0,0.17628145
6.0,6.0,0.30209988
7.0,7.0,0.050613
8.0,8.0,0.47655857
9.0,9.0,0.10540489
10.0,10.0,0.026589606
11.0,11.0,0.020616222
12.0,12.0,0.18693696
13.0,13.0,0.19322066
14.0,14.0,0.5047959
15.0,15.0,0.538304
16.0,16.0,0.105276056
17.0,17.0,0.08449193
18.0,18.0,0.03923781
19.0,19.0,0.0034734337
20.0,20.0,0.082343005
21.0,21.0,0.041752223
22.0,22.0,0.52768135
23.0,23.0,0.059320517
24.0,24.0,0.16608925
25.0,25.0,0.34873012
26.0,26.0,0.022541279
27.0,27.0,0.07700855
28.0,28.0,0.0073599075
29.0,29.0,0.024777945
30.0,30.0,0.1429247
31.0,31.0,0.0059903013
32.0,32.0,0.045230214
33.0,33.0,0.06974299
34.0,34.0,0.05697118
35.0,35.0,0.22926007
36.0,36.0,0.07688781
37.0,37.0,0.019723536
38.0,38.0,0.118741564
39.0,39.0,0.083308354
40.0,40.0,0.005826924
41.0,41.0,0.15377294
42.0,42.0,0.32550037
43.0,43.0,0.4255554
44.0,44.0,0.06974906
45.0,45.0,0.56336445
46.0,46.0,0.09576903
47.0,47.0,0.064414844
48.0,48.0,0.08986282
49.0,49.0,0.19892478
50.0,50.0,0.111049905
51.0,51.0,0.11150193
52.0,52.0,0.04557125
53.0,53.0,0.0476483
54.0,54.0,0.118556686
55.0,55.0,0.21823852
56.0,56.0,0.037030943
57.0,57.0,0.12851551
58.0,58.0,0.033860955
59.0,59.0,0.10433054
60.0,60.0,0.025676215
61.0,61.0,0.20928717
62.0,62.0,0.038735412
63.0,63.0,0.037516687
64.0,64.0,0.009365739
65.0,65.0,0.0042598727
66.0,66.0,0.18349324
67.0,67.0,0.002236372
68.0,68.0,0.010171783
69.0,69.0,0.12125718
70.0,70.0,0.65394974
71.0,71.0,0.13129094
72.0,72.0,0.093143456
73.0,73.0,0.07176245
74.0,74.0,0.34196636
75.0,75.0,0.02256758
76.0,76.0,0.10535275
77.0,77.0,0.03201336
78.0,78.0,0.09216266
79.0,79.0,0.184259
80.0,80.0,0.20077148
81.0,81.0,0.10853325
82.0,82.0,0.6762126
83.0,83.0,0.0979759
84.0,84.0,0.10704156
85.0,85.0,0.7552612
86.0,86.0,0.011475696
87.0,87.0,0.3713905
88.0,88.0,0.34269804
89.0,89.0,0.12008136
90.0,90.0,0.17768018
91.0,91.0,0.20773326
92.0,92.0,0.0774452
93.0,93.0,0.011602272
94.0,94.0,0.04767927
95.0,95.0,0.09141697
96.0,96.0,0.17117101
97.0,97.0,0.029617954
98.0,98.0,0.5094812
99.0,99.0,0.075491324
100.0,100.0,0.7300171
101.0,101.0,0.19370657
102.0,102.0,0.012422956
103.0,103.0,0.0018837309
104.0,104.0,0.116580255
105.0,105.0,0.082793035
106.0,106.0,0.08997103
107.0,107.0,0.008304011
108.0,108.0,0.05884174
109.0,109.0,0.20907658
110.0,110.0,0.39602667
111.0,111.0,0.07885583
112.0,112.0,0.04437001
113.0,113.0,0.1531557
114.0,114.0,0.03319162
115.0,115.0,0.025301512
116.0,116.0,0.07147099
117.0,117.0,0.08263474
118.0,118.0,0.05020884
119.0,119.0,0.13065557
120.0,120.0,0.30899966
121.0,121.0,0.0077006835
122.0,122.0,0.03807481
123.0,123.0,0.47129217
124.0,124.0,0.02408747
125.0,125.0,0.0020494338
126.0,126.0,6.962897E-4
127.0,127.0,0.11980736
128.0,128.0,0.12176137
129.0,129.0,0.014661104
130.0,130.0,0.05598578
131.0,131.0,0.041280005
132.0,132.0,0.34867787
133.0,133.0,0.039628137
134.0,134.0,0.21888444
135.0,135.0,0.66373265
136.0,136.0,0.003657283
137.0,137.0,0.074094534
138.0,138.0,0.016530272
139.0,139.0,0.09266093
140.0,140.0,0.4932406
141.0,141.0,0.17752162
142.0,142.0,0.20163073
143.0,143.0,0.02379196
144.0,144.0,0.23426464
145.0,145.0,0.0058589284
146.0,146.0,0.10835134
147.0,147.0,0.10479998
148.0,148.0,0.04467087
149.0,149.0,0.56297237
150.0,150.0,0.07806613
151.0,151.0,0.19882075
152.0,152.0,0.0344778
153.0,153.0,0.13087672
154.0,154.0,0.039559644
155.0,155.0,0.028027449
156.0,156.0,0.020833256
157.0,157.0,0.09885951
158.0,158.0,0.10498088
159.0,159.0,0.15549442
160.0,160.0,0.07979523
161.0,161.0,0.023158481
162.0,162.0,0.22912076
163.0,163.0,0.12459862
164.0,164.0,0.0712675
165.0,165.0,0.033618208
166.0,166.0,0.35389674
167.0,167.0,0.0029096145
168.0,168.0,0.038827185
169.0,169.0,0.021175092
170.0,170.0,0.18086964
171.0,171.0,0.2026513
172.0,172.0,0.0019053142
173.0,173.0,0.034278516
174.0,174.0,0.00519718
175.0,175.0,0.04805874
176.0,176.0,0.34290397
177.0,177.0,0.5494832
178.0,178.0,0.2360713
179.0,179.0,0.10886477
180.0,180.0,0.1869411
181.0,181.0,0.039630227
182.0,182.0,0.02371368
183.0,183.0,6.2756863E-4
184.0,184.0,0.26110405
185.0,185.0,0.22975393
186.0,186.0,0.021159291
187.0,187.0,0.16848573
188.0,188.0,0.04498744
189.0,189.0,0.015515752
190.0,190.0,0.1237051
191.0,191.0,0.060880426
192.0,192.0,0.043690264
193.0,193.0,0.4311259
194.0,194.0,0.28553626
195.0,195.0,0.062304422
196.0,196.0,0.17634715
197.0,197.0,0.01204946
198.0,198.0,0.33391976
199.0,199.0,0.42311507
200.0,200.0,0.37511086
201.0,201.0,0.2611293
202.0,202.0,0.079718
203.0,203.0,0.07605104
204.0,204.0,0.017160628
205.0,205.0,0.0067639356
206.0,206.0,0.06947476
207.0,207.0,0.0044409875
208.0,208.0,0.11726059
209.0,209.0,0.31115675
210.0,210.0,0.040520675
211.0,211.0,0.08818666
212.0,212.0,0.4774607
213.0,213.0,0.7731072
214.0,214.0,0.44811678
215.0,215.0,0.07777577
216.0,216.0,0.25872412
217.0,217.0,0.22200061
218.0,218.0,0.09067723
219.0,219.0,0.2250482
220.0,220.0,0.04911162
221.0,221.0,0.1661655
222.0,222.0,0.6113628
223.0,223.0,0.36919835
224.0,224.0,0.51182824
225.0,225.0,0.1217639
226.0,226.0,0.013810231
227.0,227.0,0.18799993
228.0,228.0,0.23205976
229.0,229.0,0.09860296
230.0,230.0,0.04349969
231.0,231.0,0.15734327
232.0,232.0,0.038866784
233.0,233.0,0.09968535
234.0,234.0,0.002257432
235.0,235.0,0.10233537
236.0,236.0,0.03303427
237.0,237.0,0.18252976
238.0,238.0,0.08857245
239.0,239.0,0.07857255
240.0,240.0,0.119670264
241.0,241.0,0.7149843
242.0,242.0,0.046724107
243.0,243.0,0.5799284
244.0,244.0,0.5847613
245.0,245.0,0.06336641
246.0,246.0,0.4990483
247.0,247.0,0.04701425
248.0,248.0,0.122729614
249.0,249.0,0.2612293
250.0,250.0,0.061883766
251.0,251.0,0.902739
252.0,252.0,0.056387756
253.0,253.0,0.36047798
254.0,254.0,0.03749367
255.0,255.0,0.26297995
256.0,256.0,0.02765694
257.0,257.0,0.06883222
258.0,258.0,0.22894478
259.0,259.0,0.0023348823
260.0,260.0,0.10584978
261.0,261.0,0.055573747
262.0,262.0,0.46563584
263.0,263.0,0.2657983
264.0,264.0,0.33305138
265.0,265.0,0.018089414
266.0,266.0,0.1319066
267.0,267.0,0.13490175
268.0,268.0,0.034919057
269.0,269.0,0.084130496
270.0,270.0,0.06803256
271.0,271.0,0.1371596
272.0,272.0,0.10498189
273.0,273.0,0.22910729
274.0,274.0,0.03466193
275.0,275.0,0.10446577
276.0,276.0,0.048699606
277.0,277.0,0.10580971
278.0,278.0,0.26674217
279.0,279.0,0.024456127
280.0,280.0,0.2422611
281.0,281.0,0.072063185
282.0,282.0,0.1440555
283.0,283.0,4.895862E-4
284.0,284.0,0.28343394
285.0,285.0,0.0031781022
286.0,286.0,0.026283683
287.0,287.0,0.07862115
288.0,288.0,0.08884923
289.0,289.0,0.016308617
290.0,290.0,0.101037264
291.0,291.0,0.049521808
292.0,292.0,0.31168556
293.0,293.0,0.5729097
294.0,294.0,0.088792734
295.0,295.0,0.13911806
296.0,296.0,0.08370204
297.0,297.0,0.10335387
298.0,298.0,0.8360428
299.0,299.0,0.009769224
300.0,300.0,0.2360812
301.0,301.0,0.10697813
302.0,302.0,0.23912218
303.0,303.0,0.049927786
304.0,304.0,0.041519128
305.0,305.0,0.09847076
306.0,306.0,0.13547142
307.0,307.0,0.044638302
308.0,308.0,0.096097216
309.0,309.0,0.7949791
310.0,310.0,0.5175782
311.0,311.0,0.4594946
312.0,312.0,0.020938592
313.0,313.0,0.08357968
314.0,314.0,0.78068435
315.0,315.0,0.1823938
316.0,316.0,0.11565738
317.0,317.0,0.033367008
318.0,318.0,0.04268635
319.0,319.0,0.29419228
320.0,320.0,0.20731783
321.0,321.0,0.16994378
322.0,322.0,0.097656615
323.0,323.0,0.032089733
324.0,324.0,0.03895341
325.0,325.0,0.4635478
326.0,326.0,0.814908
327.0,327.0,0.07577888
328.0,328.0,0.16829284
329.0,329.0,0.44787982
330.0,330.0,0.07304724
331.0,331.0,0.09140133
332.0,332.0,0.26721174
333.0,333.0,0.49223027
334.0,334.0,0.6381386
335.0,335.0,0.24251774
336.0,336.0,0.02989984
337.0,337.0,0.055942036
338.0,338.0,0.043652076
339.0,339.0,0.036955718
340.0,340.0,0.18461934
341.0,341.0,0.33444428
342.0,342.0,0.026146336
343.0,343.0,0.4561381
344.0,344.0,0.169779
345.0,345.0,0.029278152
346.0,346.0,0.2582313
347.0,347.0,0.06444545
348.0,348.0,0.38551557
349.0,349.0,7.867E-4
350.0,350.0,0.04240988
351.0,351.0,0.07001185
352.0,352.0,0.36759737
353.0,353.0,0.29115635
354.0,354.0,0.2006305
355.0,355.0,0.057360783
356.0,356.0,0.07275469
357.0,357.0,0.466998
358.0,358.0,0.00847389
359.0,359.0,0.06794933
360.0,360.0,0.033861604
361.0,361.0,0.066967964
362.0,362.0,0.0048228092
363.0,363.0,0.16537434
364.0,364.0,0.06920575
365.0,365.0,0.027813414
366.0,366.0,0.37264436
367.0,367.0,0.0794663
368.0,368.0,0.24000451
369.0,369.0,9.3791255E-4
370.0,370.0,0.0014133143
371.0,371.0,0.15745309
372.0,372.0,0.07519185
373.0,373.0,0.075463265
374.0,374.0,0.46437407
375.0,375.0,0.033077713
376.0,376.0,0.4668814
377.0,377.0,0.08840622
378.0,378.0,0.0025012575
379.0,379.0,0.02276881
380.0,380.0,0.010926011
381.0,381.0,0.0076321326
382.0,382.0,0.09075458
383.0,383.0,0.19422199
384.0,384.0,0.7994111
385.0,385.0,0.065855406
386.0,386.0,0.013032133
387.0,387.0,0.16311233
