Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.06335E-11,0.000000002,0.000000057,0.999701522,0,0
1.43141E-11,0.000000003,0.000000077,0.99960203,0,0
4.78127E-11,0.000000013,0.000000258,0.999303552,0,0
5.32448E-11,0.000000028,0.000000287,0.999005074,0,0
1.18648E-10,0.000000109,0.000000639,0.998010148,0,0
2.02978E-10,0.000000263,0.000001094,0.997015222,0,0
5.39097E-10,0.000001039,0.000002904,0.994925878,0,0
1.13768E-9,0.000002564,0.000006129,0.993234504,0,0
3.26374E-9,0.000010257,0.000017583,0.989354293,0,0
7.51674E-9,0.000025653,0.000040496,0.986369515,0,0
1.34386E-8,0.00005125,0.000072397,0.983981693,0,0
1.98294E-8,0.000100269,0.000106821,0.980996916,0,0
3.32822E-8,0.00025214,0.000179279,0.975425331,0,0
5.68929E-8,0.000500418,0.000306423,0.969853746,0,0
1.02865E-7,0.001000756,0.000553887,0.963585713,0,0
2.40122E-7,0.002520967,0.001292012,0.954034424,0,0
4.01011E-7,0.005021295,0.002155832,0.946274003,0,0
6.31505E-7,0.010044158,0.003390762,0.936623222,0,0
9.76415E-7,0.025046343,0.00523301,0.9181176,0,0
1.57729E-6,0.050127855,0.008426192,0.89811959,0,0
2.7185E-6,0.100038105,0.014434785,0.874937817,0,0
5.03471E-6,0.200143923,0.02640866,0.848671774,0,0
6.60177E-6,0.300126877,0.034346098,0.831559049,0,0
7.72976E-6,0.400536618,0.039979904,0.817729579,0,0
8.72009E-6,0.500863467,0.044872245,0.805591483,0,0
9.66128E-6,0.600555626,0.049475876,0.794746791,0,0
1.04284E-5,0.700941026,0.053195536,0.784797533,0,0
1.07327E-5,0.750799204,0.054662643,0.780121381,0,0
1.10909E-5,0.80010834,0.056384059,0.775644215,0,0
1.18311E-5,0.900062713,0.059921875,0.766988359,0,0
1.244E-5,1.000987281,0.062812146,0.758730475,0,0
1.30524E-5,1.10044272,0.065700846,0.750970053,0,0
1.36366E-5,1.200460571,0.06844044,0.743508109,0,0
1.42663E-5,1.300943673,0.071375239,0.736344642,0,0
1.48888E-5,1.401432818,0.074258338,0.729479654,0,0
1.54819E-5,1.500156231,0.076988876,0.723012636,0,0
1.73295E-5,1.750692681,0.085391701,0.707889762,0,0
1.9002E-5,2.000776226,0.092867697,0.694159785,0,0
2.10733E-5,2.251182752,0.1019588,0.681723212,0,0
2.28746E-5,2.500871484,0.109717651,0.670381057,0,0
2.48568E-5,2.752189994,0.118102271,0.659934335,0,0
2.67058E-5,3.002230172,0.12578282,0.650283554,0,0
2.83203E-5,3.250075351,0.132380317,0.641329221,0,0
2.985E-5,3.500393726,0.138540045,0.632772858,0,0
3.15987E-5,3.75216463,0.145475395,0.624614466,0,0
3.30672E-5,4.001600755,0.151213638,0.616953537,0,0
3.45604E-5,4.252401114,0.156970291,0.609591085,0,0
3.56326E-5,4.502098429,0.161055854,0.602527112,0,0
3.69095E-5,4.751890981,0.165869983,0.595662123,0,0
3.85061E-5,5.001064139,0.171812019,0.589095612,0,0
3.98049E-5,5.251796935,0.176584141,0.582728087,0,0
4.10021E-5,5.502530033,0.18093397,0.576559546,0,0
4.19891E-5,5.751767009,0.184486112,0.570589991,0,0
4.31642E-5,6.003069112,0.188674904,0.564719928,0,0
4.43661E-5,6.252245513,0.192915129,0.559048851,0,0
4.54363E-5,6.503660035,0.196653477,0.553477266,0,0
4.65452E-5,6.751950741,0.200490761,0.548104666,0,0
4.75391E-5,7.001317841,0.203898977,0.542831559,0,0
4.86915E-5,7.251573537,0.207814352,0.537657944,0,0
4.95992E-5,7.502083375,0.210871554,0.532583823,0,0
5.05664E-5,7.75263552,0.214103273,0.527609193,0,0
5.14491E-5,8.002398656,0.217029612,0.522734056,0,0
5.24119E-5,8.251724979,0.220196566,0.517958412,0,0
5.36998E-5,8.500783667,0.224393392,0.51328226,0,0
5.47468E-5,8.750244287,0.227771843,0.508705601,0,0
5.57948E-5,9.004392727,0.231124184,0.504128942,0,0
5.67723E-5,9.251939912,0.23422497,0.499751269,0,0
5.77816E-5,9.504019955,0.237400654,0.495373595,0,0
5.85261E-5,9.75441724,0.239726159,0.491095413,0,0
5.93786E-5,10.002123059,0.242371632,0.486916725,0,0
6.03523E-5,10.253387779,0.24537096,0.482738036,0,0
6.1105E-5,10.502731929,0.247673071,0.47865884,0,0
6.20078E-5,10.755184594,0.250416101,0.474579644,0,0
6.27781E-5,11.004738331,0.25274081,0.47059994,0,0
6.39115E-5,11.251542063,0.256134777,0.466719729,0,0
6.49846E-5,11.502644528,0.259320304,0.462839518,0.019607843,0
6.57155E-5,11.751084903,0.261474233,0.4590588,0.019607843,0
6.68606E-5,12.003044589,0.264823938,0.455278082,0.019607843,0
6.79558E-5,12.252571641,0.267999285,0.451596856,0.019607843,0
6.86901E-5,12.505335574,0.270112863,0.44791563,0.019607843,0
6.95391E-5,12.754023197,0.272541742,0.444333897,0.019607843,0
7.04914E-5,13.006056535,0.275246612,0.440752164,0.019607843,0
7.13068E-5,13.254396927,0.277546891,0.437269923,0.019607843,0
7.20162E-5,13.505215713,0.279536045,0.433787683,0.019607843,0
7.32578E-5,13.752373665,0.282991553,0.430404935,0.019607843,0
7.44547E-5,14.004015073,0.286291479,0.427022187,0.019607843,0
7.54632E-5,14.251615594,0.289048461,0.423738931,0.019607843,0
7.63796E-5,14.502156151,0.291535409,0.420455676,0.019607843,0
7.72554E-5,14.755632742,0.293895659,0.417172421,0.019607843,0
7.80685E-5,15.00412964,0.296073208,0.413988658,0.019607843,0
7.89032E-5,15.255389026,0.298294372,0.410804895,0.019607843,0
8.00851E-5,15.501914036,0.301415963,0.407720625,0.019607843,0
8.07719E-5,15.751337519,0.303217078,0.404636355,0.019607843,0
8.18164E-5,16.003337215,0.305938507,0.401552084,0.019607843,0
8.27626E-5,16.250359211,0.308385329,0.398567307,0.039215686,0
8.36235E-5,16.508284585,0.310597049,0.395483037,0.039215686,0
8.47009E-5,16.752639258,0.313344691,0.392597751,0.039215686,0
8.59187E-5,17.000121761,0.31642433,0.389712466,0.039215686,0
8.66473E-5,17.250508932,0.318253667,0.386827181,0.039215686,0
8.74001E-5,17.502821518,0.320133472,0.383941896,0.039215686,0
8.81583E-5,17.757556627,0.322016424,0.381056611,0.039215686,0
8.89588E-5,18.005712767,0.323992929,0.378270819,0.039215686,0
8.96611E-5,18.255776367,0.325717783,0.375485026,0.039215686,0
9.03931E-5,18.507777319,0.32750595,0.372699234,0.058823529,0
9.14616E-5,18.753551904,0.330099461,0.370012934,0.058823529,0
9.24509E-5,19.002216212,0.332482744,0.367326634,0.078431373,0
9.35708E-5,19.253207389,0.335160518,0.364640334,0.078431373,0
9.40797E-5,19.506590833,0.336370113,0.361954034,0.098039216,0
9.49051E-5,19.752265752,0.338322843,0.359367227,0.098039216,0
9.57746E-5,20.000039206,0.340367403,0.35678042,0.098039216,0
9.67327E-5,20.250334022,0.342605747,0.354193613,0.117647059,0
9.75929E-5,20.503105145,0.344602624,0.351606805,0.117647059,0
9.84745E-5,20.75793392,0.346636487,0.349019998,0.117647059,0
9.93741E-5,21.005331802,0.348698888,0.346532683,0.117647059,0
9.99634E-5,21.254537727,0.350042973,0.344045369,0.137254902,0
1.01075E-4,21.505833621,0.35256239,0.341558054,0.137254902,0
1.0197E-4,21.759668355,0.354578233,0.339070739,0.137254902,0
1.02743E-4,22.005408265,0.356308735,0.336682917,0.137254902,0
1.03707E-4,22.253167812,0.358452414,0.334295095,0.137254902,0
1.05106E-4,22.503787908,0.361540896,0.331907273,0.137254902,0
1.05998E-4,22.757108504,0.36349391,0.329519451,0.137254902,0
1.06939E-4,23.002060431,0.365539871,0.327231121,0.137254902,0
1.07817E-4,23.2599065,0.367440051,0.324843299,0.137254902,0
1.08591E-4,23.508766819,0.36910345,0.32255497,0.156862745,0
1.09588E-4,23.759784306,0.371234238,0.32026664,0.156862745,0
1.10625E-4,24.002025275,0.373434849,0.318077803,0.156862745,0
1.11691E-4,24.257831412,0.375682555,0.315789474,0.156862745,0
1.12705E-4,24.504802679,0.377804007,0.313600637,0.156862745,0
1.13491E-4,24.753619769,0.379438679,0.3114118,0.156862745,0
1.14359E-4,25.0041291,0.381233567,0.309222963,0.156862745,0
1.1521E-4,25.256642897,0.382985101,0.307034126,0.156862745,0
1.16232E-4,25.51123891,0.385074657,0.304845289,0.156862745,0
1.17224E-4,25.756468186,0.387087799,0.302755945,0.156862745,0
1.18295E-4,26.004018074,0.389249081,0.3006666,0.156862745,0
1.19215E-4,26.25331176,0.391091169,0.298577256,0.156862745,0
1.19832E-4,26.504400326,0.39232129,0.296487912,0.176470588,0
1.20597E-4,26.756780685,0.393839982,0.294398567,0.176470588,0
1.2136E-4,27.010865897,0.395346847,0.292309223,0.196078431,0
1.22033E-4,27.254232734,0.396668205,0.290319371,0.196078431,0
1.22849E-4,27.511451513,0.398264906,0.288230027,0.196078431,0
1.23778E-4,27.758165693,0.40007217,0.286240175,0.215686275,0
1.24474E-4,28.006422861,0.401418399,0.284250323,0.215686275,0
1.2523E-4,28.256030406,0.402873596,0.282260472,0.215686275,0
1.26651E-4,28.508101475,0.405592529,0.28027062,0.215686275,0
1.27704E-4,28.762529164,0.407589714,0.278280768,0.215686275,0
1.28411E-4,29.006028929,0.408923507,0.276390409,0.215686275,0
1.291E-4,29.250771157,0.410218084,0.27450005,0.235294118,0
1.30315E-4,29.510161431,0.412484797,0.272510198,0.235294118,0
1.31266E-4,29.758868279,0.414249446,0.270619839,0.235294118,0
1.32492E-4,30.00934464,0.416506611,0.26872948,0.235294118,0
1.33883E-4,30.262313817,0.419047349,0.26683912,0.235294118,0
1.35268E-4,30.504868782,0.421555033,0.265048254,0.235294118,0
1.36045E-4,30.762671243,0.42295167,0.263157895,0.254901961,0
