x,y,species logistic values
1.0,1.0,0.47785375
2.0,2.0,0.06403876
3.0,3.0,0.020845737
4.0,4.0,0.085892126
5.0,5.0,0.12028253
6.0,6.0,0.5696602
7.0,7.0,0.6134884
8.0,8.0,0.013311784
9.0,9.0,0.54162985
10.0,10.0,0.51477784
11.0,11.0,0.20159867
12.0,12.0,0.84113413
13.0,13.0,0.47100365
14.0,14.0,0.23898107
15.0,15.0,2.7464735E-4
16.0,16.0,0.11489173
17.0,17.0,0.46961227
18.0,18.0,0.2595523
19.0,19.0,0.20781435
20.0,20.0,0.053381942
21.0,21.0,0.27913603
22.0,22.0,0.5261969
23.0,23.0,0.6442985
24.0,24.0,0.03998553
25.0,25.0,0.54267675
26.0,26.0,0.52914476
27.0,27.0,0.63147366
28.0,28.0,0.25794488
29.0,29.0,0.55317605
30.0,30.0,0.06136101
31.0,31.0,0.21770436
32.0,32.0,0.589046
33.0,33.0,0.26049787
34.0,34.0,0.6081432
35.0,35.0,0.015557799
36.0,36.0,0.04378499
37.0,37.0,0.0014922707
38.0,38.0,0.47159877
39.0,39.0,0.046939787
40.0,40.0,0.03846402
41.0,41.0,0.30714265
42.0,42.0,0.08212415
43.0,43.0,0.09577106
44.0,44.0,0.15615574
45.0,45.0,0.10850468
46.0,46.0,0.832565
47.0,47.0,0.7237811
48.0,48.0,0.0049540033
49.0,49.0,0.13451746
50.0,50.0,0.15793984
51.0,51.0,0.06769554
52.0,52.0,0.22925586
53.0,53.0,0.2651258
54.0,54.0,0.46784958
55.0,55.0,0.49598062
56.0,56.0,0.1710873
57.0,57.0,0.4003643
58.0,58.0,0.10171408
59.0,59.0,0.1591522
60.0,60.0,0.08229459
61.0,61.0,0.1511984
62.0,62.0,0.038663283
63.0,63.0,0.30985293
64.0,64.0,0.14786619
65.0,65.0,0.12944177
66.0,66.0,0.23971844
67.0,67.0,0.27890325
68.0,68.0,0.2477596
69.0,69.0,0.32201642
70.0,70.0,0.17351538
71.0,71.0,0.28434616
72.0,72.0,0.38216156
73.0,73.0,0.4034969
