x,y,species logistic values
1.0,1.0,0.16932301
2.0,2.0,0.5067225
3.0,3.0,0.17100893
4.0,4.0,0.25887248
5.0,5.0,0.6054563
6.0,6.0,0.33978868
7.0,7.0,0.31008604
8.0,8.0,0.10498401
9.0,9.0,0.012169645
10.0,10.0,0.5861825
11.0,11.0,0.34707266
12.0,12.0,0.6930329
13.0,13.0,0.17381877
14.0,14.0,0.048912495
15.0,15.0,0.2202481
16.0,16.0,0.67287856
17.0,17.0,0.13697205
18.0,18.0,0.20880027
19.0,19.0,0.13109785
20.0,20.0,0.12332862
21.0,21.0,0.08331369
22.0,22.0,0.29441437
23.0,23.0,0.33094296
24.0,24.0,0.17484578
25.0,25.0,0.2504986
26.0,26.0,0.124736436
27.0,27.0,0.28718692
28.0,28.0,0.37436005
29.0,29.0,0.09277026
30.0,30.0,0.15448676
31.0,31.0,0.4118337
32.0,32.0,0.1516337
33.0,33.0,0.7048511
34.0,34.0,0.056993708
35.0,35.0,0.048798405
36.0,36.0,0.24568108
37.0,37.0,0.0743183
38.0,38.0,0.22225569
39.0,39.0,0.2254684
40.0,40.0,0.2252126
41.0,41.0,0.32955015
42.0,42.0,0.21959542
43.0,43.0,0.31401208
44.0,44.0,0.15269445
45.0,45.0,0.054075398
46.0,46.0,0.21199027
47.0,47.0,0.17620917
48.0,48.0,0.24770595
49.0,49.0,0.25604415
50.0,50.0,0.4470933
51.0,51.0,0.16234465
52.0,52.0,0.50536317
53.0,53.0,0.2950788
54.0,54.0,0.08507042
55.0,55.0,0.29591736
56.0,56.0,0.6782787
57.0,57.0,0.01141744
58.0,58.0,0.14303948
59.0,59.0,0.75735533
60.0,60.0,0.614058
61.0,61.0,0.2541978
62.0,62.0,0.12178497
63.0,63.0,0.35997024
64.0,64.0,0.15452363
65.0,65.0,0.68449444
66.0,66.0,0.32145163
67.0,67.0,0.45560932
68.0,68.0,0.32111314
69.0,69.0,0.6104654
70.0,70.0,0.49749243
71.0,71.0,0.46779102
72.0,72.0,0.40467605
73.0,73.0,0.28546822
74.0,74.0,0.07153167
75.0,75.0,0.18524507
76.0,76.0,0.37748894
77.0,77.0,0.17413929
78.0,78.0,0.49459606
79.0,79.0,0.15394606
80.0,80.0,0.41986877
81.0,81.0,0.3073994
82.0,82.0,0.723394
83.0,83.0,0.2513676
84.0,84.0,0.017663566
85.0,85.0,0.088556856
86.0,86.0,0.6921603
87.0,87.0,0.30837405
88.0,88.0,0.2250807
89.0,89.0,0.07656182
90.0,90.0,0.41603342
91.0,91.0,0.123309255
92.0,92.0,0.23926322
93.0,93.0,0.6716001
94.0,94.0,0.5793279
95.0,95.0,0.30126083
96.0,96.0,0.048024014
97.0,97.0,0.13481247
98.0,98.0,0.18314807
99.0,99.0,0.36487073
100.0,100.0,0.044474106
101.0,101.0,0.34502113
102.0,102.0,0.2077554
103.0,103.0,0.16486166
104.0,104.0,0.07610575
105.0,105.0,0.17560275
106.0,106.0,0.1632614
107.0,107.0,0.06306545
108.0,108.0,0.069924995
109.0,109.0,0.09804743
110.0,110.0,0.10299979
111.0,111.0,0.008371629
112.0,112.0,0.041358624
113.0,113.0,0.09015741
114.0,114.0,0.2782098
115.0,115.0,0.5879276
116.0,116.0,0.12434868
117.0,117.0,0.19988473
118.0,118.0,0.2532544
119.0,119.0,0.2187167
120.0,120.0,0.02739619
121.0,121.0,0.30424857
122.0,122.0,0.79567516
123.0,123.0,0.2116031
124.0,124.0,0.1638531
125.0,125.0,0.1131556
126.0,126.0,0.24392515
127.0,127.0,0.123630315
128.0,128.0,0.17018536
129.0,129.0,0.06627991
130.0,130.0,0.7304446
131.0,131.0,0.6883837
132.0,132.0,0.52583194
133.0,133.0,0.14042792
134.0,134.0,0.12493415
135.0,135.0,0.11165179
136.0,136.0,0.0058675488
137.0,137.0,0.029928556
138.0,138.0,0.11322758
139.0,139.0,0.7014154
140.0,140.0,0.70060766
141.0,141.0,0.04639088
142.0,142.0,0.47844484
143.0,143.0,0.16329548
144.0,144.0,0.34709117
145.0,145.0,0.05777471
146.0,146.0,0.04520893
147.0,147.0,0.38962454
148.0,148.0,0.087538734
149.0,149.0,0.019602159
150.0,150.0,0.060213532
151.0,151.0,0.7327073
152.0,152.0,0.35965297
153.0,153.0,0.80771786
154.0,154.0,0.0813845
155.0,155.0,0.1783058
156.0,156.0,0.18171804
157.0,157.0,0.19255254
158.0,158.0,0.12079059
159.0,159.0,0.14253275
160.0,160.0,0.09144112
161.0,161.0,0.177811
162.0,162.0,0.324336
163.0,163.0,0.5244103
164.0,164.0,0.037156746
165.0,165.0,0.30899706
166.0,166.0,0.073529616
167.0,167.0,0.020893779
168.0,168.0,0.2924102
169.0,169.0,0.16511478
170.0,170.0,0.12731726
171.0,171.0,0.26077697
172.0,172.0,0.08735948
173.0,173.0,0.05398637
174.0,174.0,0.33969072
175.0,175.0,0.09564008
176.0,176.0,0.5976734
177.0,177.0,0.21764365
178.0,178.0,0.15327966
179.0,179.0,0.41762936
180.0,180.0,0.016839596
181.0,181.0,0.40455726
182.0,182.0,0.0022944163
183.0,183.0,0.019762669
184.0,184.0,0.2592183
185.0,185.0,0.11676175
186.0,186.0,0.11019695
187.0,187.0,0.28713349
188.0,188.0,0.38079563
189.0,189.0,0.09299384
190.0,190.0,0.14239779
191.0,191.0,0.09040187
192.0,192.0,0.40929446
193.0,193.0,0.28041786
194.0,194.0,0.33276203
195.0,195.0,0.471792
196.0,196.0,0.546217
197.0,197.0,0.21158673
198.0,198.0,0.35547858
199.0,199.0,0.66331095
200.0,200.0,0.2101288
201.0,201.0,0.42620516
202.0,202.0,0.02752512
203.0,203.0,0.10805194
204.0,204.0,0.13164438
205.0,205.0,0.104841694
206.0,206.0,0.33622622
207.0,207.0,0.11140919
208.0,208.0,0.12879126
209.0,209.0,0.10021321
210.0,210.0,0.08039979
211.0,211.0,0.17946151
212.0,212.0,0.309959
213.0,213.0,0.15568307
214.0,214.0,0.16375214
215.0,215.0,0.049829137
216.0,216.0,0.06947177
217.0,217.0,0.2637558
218.0,218.0,0.60543406
219.0,219.0,0.5958045
220.0,220.0,0.11797735
221.0,221.0,0.27392474
222.0,222.0,0.4897614
223.0,223.0,0.19030364
224.0,224.0,0.2740095
225.0,225.0,0.12206213
226.0,226.0,0.25161418
227.0,227.0,0.07658868
228.0,228.0,0.6852802
229.0,229.0,0.13965955
230.0,230.0,0.050698742
231.0,231.0,0.17786215
232.0,232.0,0.723489
233.0,233.0,0.10750155
234.0,234.0,0.0039373077
235.0,235.0,0.30963096
236.0,236.0,0.18913327
237.0,237.0,0.31873187
238.0,238.0,0.18387498
239.0,239.0,0.28692144
240.0,240.0,0.28351554
241.0,241.0,0.024958977
242.0,242.0,0.10854301
243.0,243.0,0.3393446
244.0,244.0,0.051712807
245.0,245.0,0.5988012
246.0,246.0,0.07550547
247.0,247.0,0.082285255
248.0,248.0,0.3386038
249.0,249.0,0.27273855
250.0,250.0,0.22848232
251.0,251.0,0.112097204
252.0,252.0,0.17475806
253.0,253.0,0.24053669
254.0,254.0,0.29214308
255.0,255.0,0.13057399
256.0,256.0,0.21768034
257.0,257.0,0.3290364
258.0,258.0,0.23838098
259.0,259.0,0.17048566
260.0,260.0,0.29327226
261.0,261.0,0.2117623
262.0,262.0,0.0071130428
263.0,263.0,0.53724945
264.0,264.0,0.16650581
265.0,265.0,0.5935902
266.0,266.0,0.15386418
267.0,267.0,0.13713591
268.0,268.0,0.031411268
269.0,269.0,0.2604641
270.0,270.0,0.4333498
271.0,271.0,0.40083542
272.0,272.0,0.12415391
273.0,273.0,0.17131335
274.0,274.0,0.58350945
275.0,275.0,0.29532078
276.0,276.0,0.36941966
277.0,277.0,0.0526622
278.0,278.0,0.12342446
279.0,279.0,0.24540697
280.0,280.0,0.26113477
281.0,281.0,0.13783811
282.0,282.0,0.31727418
283.0,283.0,0.07153537
284.0,284.0,0.07078386
285.0,285.0,0.5095911
286.0,286.0,0.3342082
287.0,287.0,0.22240044
288.0,288.0,0.36177075
289.0,289.0,0.55873495
290.0,290.0,0.17953125
291.0,291.0,0.17751282
292.0,292.0,0.0038147017
293.0,293.0,0.18209422
294.0,294.0,0.3463687
295.0,295.0,0.1845434
296.0,296.0,0.014909361
297.0,297.0,0.70682657
298.0,298.0,0.059874784
299.0,299.0,0.13525382
300.0,300.0,0.12188263
301.0,301.0,0.25817275
302.0,302.0,0.07929404
303.0,303.0,0.16306642
304.0,304.0,0.17316969
305.0,305.0,0.09200887
306.0,306.0,0.65579134
307.0,307.0,0.06444056
308.0,308.0,0.26249674
309.0,309.0,0.7905813
310.0,310.0,0.19701181
311.0,311.0,0.11769205
312.0,312.0,0.13966729
313.0,313.0,0.31432277
314.0,314.0,0.22994632
315.0,315.0,0.11583381
316.0,316.0,0.47981453
317.0,317.0,0.12334907
318.0,318.0,0.16516246
319.0,319.0,0.035161044
320.0,320.0,0.5174027
321.0,321.0,0.15607028
322.0,322.0,0.2947151
323.0,323.0,0.22764935
