Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.10338E-8,0.000008103,0.000407766,1,0,0
1.01793E-7,0.000018283,0.000512175,0.99990004,0,0
1.0462E-7,0.000028745,0.000526388,0.99980008,0,0
1.74207E-7,0.00006143,0.000876207,0.99960016,0,0
2.50764E-7,0.000110012,0.001260779,0.99940024,0,0
3.59104E-7,0.000268787,0.001804506,0.99890044,0,0
4.5074E-7,0.00051725,0.002263931,0.99830068,0,0
5.86341E-7,0.001048598,0.002943014,0.99730108,0,0
7.60674E-7,0.002510756,0.003814702,0.995101959,0,0
9.05267E-7,0.005028648,0.004536529,0.992103159,0,0
1.21717E-6,0.010008367,0.006090048,0.987405038,0,0
1.92716E-6,0.025014339,0.0096083,0.978108756,0,0
2.5577E-6,0.050092201,0.012712033,0.966913235,0,0
3.77073E-6,0.100002242,0.018628643,0.950919632,0,0
5.57766E-6,0.200542795,0.027311635,0.929128349,0,0
7.23105E-6,0.300169847,0.035123292,0.913634546,0,0
8.62227E-6,0.400078566,0.041599745,0.901039584,0,0
9.73333E-6,0.500274815,0.04670984,0.890143942,0,0
1.06169E-5,0.600004692,0.050735059,0.880347861,0,0
1.13876E-5,0.70044741,0.054218186,0.871251499,0,0
1.17459E-5,0.750258865,0.055828929,0.866953219,0,0
1.21517E-5,0.800493218,0.057646485,0.862754898,0,0
1.27769E-5,0.900420515,0.060433073,0.854758097,0,0
1.34453E-5,1.000131402,0.063394092,0.847161136,0,0
1.40317E-5,1.100702332,0.065976714,0.839864054,0,0
1.45518E-5,1.20089235,0.068255015,0.832866853,0,0
1.50491E-5,1.300173175,0.070423305,0.826169532,0,0
1.5626E-5,1.400122503,0.072926281,0.819672131,0,0
1.60223E-5,1.501430472,0.074637667,0.81327469,0,0
1.71487E-5,1.750464165,0.079467772,0.798280688,0,0
1.82447E-5,2.001158782,0.084119593,0.784086365,0,0
1.94516E-5,2.251281298,0.08918772,0.770791683,0,0
2.05296E-5,2.501599038,0.093667848,0.758296681,0,0
2.17026E-5,2.750900246,0.098492322,0.746501399,0,0
2.27974E-5,3.000233827,0.102949481,0.735305878,0,0
2.39883E-5,3.250415558,0.107748099,0.724610156,0,0
2.48179E-5,3.501359829,0.111060266,0.714314274,0,0
2.57025E-5,3.75152695,0.114565497,0.704418233,0,0
2.65872E-5,4.000483345,0.118043256,0.694922031,0,0
2.75719E-5,4.252566402,0.121882635,0.68562575,0,0
2.84106E-5,4.501941755,0.125126102,0.676729308,0,0
2.92096E-5,4.752660612,0.128194001,0.668032787,0,0
3.00707E-5,5.002057858,0.131476264,0.659636146,0,0
3.09971E-5,5.251879548,0.134980078,0.651439424,0,0
3.191E-5,5.500807207,0.138404991,0.643542583,0,0
3.26841E-5,5.752746428,0.141288292,0.635745702,0,0
3.3628E-5,6.001314361,0.144777821,0.628248701,0,0
3.46519E-5,6.250685932,0.148531268,0.620951619,0,0
3.54968E-5,6.503307007,0.15160364,0.613754498,0,0
3.61483E-5,6.75050938,0.153957661,0.606857257,0,0
3.70237E-5,7.002610823,0.157100582,0.599960016,0,0
3.78425E-5,7.253410434,0.16001891,0.593262695,0,0
3.86905E-5,7.50230748,0.16302007,0.586765294,0,0
3.92089E-5,7.7516682,0.164844351,0.580367853,0,0
3.99356E-5,8.001068053,0.167388009,0.574070372,0,0
4.06507E-5,8.25079924,0.169876364,0.567872851,0,0
4.15007E-5,8.501214914,0.172814667,0.56177529,0,0
4.21842E-5,8.752385465,0.175162219,0.555777689,0,0
4.28843E-5,9.003200324,0.177553128,0.549880048,0,0
4.35766E-5,9.253929453,0.179903744,0.544082367,0,0
4.43792E-5,9.500221696,0.182611983,0.538484606,0,0
4.50486E-5,9.750501149,0.18485749,0.532886845,0,0
4.57072E-5,10.00024884,0.187054561,0.527389044,0,0
4.64969E-5,10.253920664,0.189673312,0.521891244,0,0
4.71214E-5,10.501907708,0.191732196,0.516593363,0,0
4.78638E-5,10.753954593,0.194166519,0.511295482,0,0
4.87368E-5,11.000331185,0.197010133,0.506197521,0,0
4.93564E-5,11.250265515,0.199016432,0.50109956,0,0
5.00005E-5,11.503635627,0.201091261,0.496001599,0,0
5.06081E-5,11.750307424,0.203038743,0.491103559,0,0
5.13428E-5,12.000114086,0.20538105,0.486205518,0,0
5.19013E-5,12.253058161,0.207152498,0.481307477,0,0
5.26187E-5,12.50396751,0.20941598,0.476509396,0,0
5.33024E-5,12.752848418,0.211561286,0.471811275,0,0
5.43017E-5,13.000270752,0.214676256,0.467213115,0,0
5.50833E-5,13.251723181,0.217095424,0.462614954,0,0
5.56924E-5,13.501043208,0.218970239,0.458116753,0,0
5.62302E-5,13.752934603,0.220618346,0.453618553,0,0
5.68206E-5,14.00182875,0.222419553,0.449220312,0,0
5.73094E-5,14.252921827,0.223904668,0.444822071,0,0
